1;"""AU MARCHE DE L'OUST""";7 Av. Yves Rober;56460;Satisfaisant;47.86542,-2.423546;6405;31
2;"""BOUCHERIE CHARCUTERIE""";55, Grande Rue;71590;A améliorer;46.876801,4.946898;2262;11
3;"""CDP LAZARE""";43 RUE SAINT LAZARE;75009;Très satisfaisant;48.876782,2.335277;4433;98
4;"""CHEVRERIE DU BOIS DE NOULETTE""";44, RUE DE LA CHAPELLE;62160;Très satisfaisant;50.416304,2.719885;61;71
5;"""CHEVRERIE DU BOIS DE NOULETTE""";44, RUE DE LA CHAPELLE;62160;Très satisfaisant;50.416304,2.719885;61;71
6;"""LE MARMITON DE LUTECE""";6 RUE SAINT SEVERIN;75005;Satisfaisant;48.85229,2.34593;4428;98
7;"""RESIL'IENCE""";1 SALANDON;45500;Satisfaisant;47.681874,2.68498;2271;22
8;"""SABOR PERUANO""";13 RUE DAUTANCOURT;75017;A améliorer;48.889482,2.324128;4420;98
9;(ND) BOUCHERIE COUTEPEROUMAL Eric;MARCHE DE CAPESTERRE BELLE EAU;97130;A améliorer;16.011699,-61.605091;1012;11
10;(ND) HO CHUNG LEUNG;31 RUE DE L INDUSTRIE;97122;Satisfaisant;16.237689,-61.565854;392;98
11;(ND) KANDASSAMY YOANN RITCHY;34 ZONE ARTISANALE DE PETIT PEROU;97139;Satisfaisant;16.257001,-61.513229;3226;98
12;(ND) SHITALOU SNACK-TRAITEUR;40 BOULEVARD ROUGE;97160;Très satisfaisant;16.331013,-61.345481;3121;98
13;(ND) SHITALOU SNACK-TRAITEUR;8, rue Clémenceau;97160;Satisfaisant;16.332513,-61.345261;3121;98
14;(NEANT);18 RUE CAFFARELLI;75003;A améliorer;48.863897,2.362333;4426;98
15;0 18;86 RUE DE LA CHAPELLE;75018;Satisfaisant;48.896586,2.359705;4421;98
16;0MATCH PIZZA;21 RTE D EAUNES;31600;Satisfaisant;43.455855,1.330076;4149;98
17;1 2 3 SOLEIL;39, RUE DU VAL AU ROI;78200;Satisfaisant;48.9813,1.674542;911;99
18;1.2.3 TACOS;96 RUE DE LA COUDRAIE;71300;Satisfaisant;46.692234,4.348582;3951;98
19;111 POULET BRAISE;111 BD GEORGES CLEMENCEAU;35200;Satisfaisant;48.09381,-1.672681;4885;98
20;119 ROYAL CHICKEN;119 AVENUE DE STALINGRAD;93240;Satisfaisant;48.951493,2.387739;6141;98
21;11EME AVENUE;46 AVENUE PARMENTIER;75011;Satisfaisant;48.861843,2.377398;4414;98
22;12.14;4 RUE ALFRED KASTLER;56000;Très satisfaisant;47.642788,-2.745432;6455;98
23;123 POULET;55 B RUE JEAN JAURES;94350;Satisfaisant;48.82716,2.534558;6748;98
24;123 SOLEIL CRETEIL;2 RUE ANTOINE ETEX;94000;Très satisfaisant;48.797543,2.448921;1650;99
25;128 AVENUE;128 RUE DE PARIS;89000;Satisfaisant;47.799584,3.568705;336;98
26;13 COMEDIE LGE;59 RUE DE TOCQUEVILLE;75017;Très satisfaisant;48.88575,2.309714;4420;98
27;148152;60 RUE SAINT-ANDRÉ DES ARTS;75006;Satisfaisant;48.853552,2.339626;4412;99
28;16000 PIZZA;239 RUE DE MONTMOREAU;16000;Satisfaisant;45.636383,0.154224;148;98
29;2 3 FOUEES;15 LA FRESSENEDE;23130;Satisfaisant;46.089186,2.29487;4513;98
30;2 BIS CAFE;2BIS RUE DES ECOLES;75005;Satisfaisant;48.848881,2.347687;4428;98
31;2 POTES AU FEU;2 POTES AU FEU;44300;Très satisfaisant;47.238075,-1.561198;4169;98
32;20 EIFFEL;RESTAURANT 20 EIFFEL;75007;Satisfaisant;48.857739,2.294844;4430;98
33;24 LE RESTAURANT;24 RUE JEAN MERMOZ;75008;Satisfaisant;48.871083,2.311801;4431;98
34;25 SEPTEMBRE;25 RUE GABRIEL PERI;78800;Très satisfaisant;48.925259,2.189173;2517;12
35;29 LEPIC;29 RUE LEPIC;75018;Très satisfaisant;48.88561,2.334419;4421;98
36;2AMSYSTEM;LA VOIE D EAU;11370;Satisfaisant;42.878333,3.047005;3321;98
37;2C ALBI;RUE DES PORTES D ALBI;81000;Satisfaisant;43.918523,2.114817;72;98
38;2FFROMAGES;31 AV FELIX FAURE;75015;Très satisfaisant;48.841525,2.28924;4418;22
39;2MDA;14 RUE DES PANOYAUX;75020;Satisfaisant;48.866263,2.385559;4424;98
40;2R BAGNOLS;45 AV DE LA MAYRE;30200;Satisfaisant;44.155561,4.619058;391;98
41;2Z RESTO;36 AVENUE JEAN JAURES;75019;Satisfaisant;48.883411,2.373229;4422;98
42;3 BRASSEURS;49 Avenue Francois Mitterrand;59494;Satisfaisant;50.375656,3.465875;4505;98
43;3 NOUNOURS;34 RUE DE PONTHIEU;75008;Satisfaisant;48.871145,2.308342;4431;98
44;37 M2 SNACK;64 RUE SAINT ANNE;75002;Très satisfaisant;48.86864,2.336676;4425;98
45;37 SAVEURS DE LA VALLEE DES ROIS;5 RUE DES PETITES MAISONS;37600;Très satisfaisant;47.141311,1.007751;3402;11
46;38 M;38 RUE MOUFFETARD;75005;Satisfaisant;48.843792,2.34935;4428;98
47;4 ETOILES;235 RUE DE CRIMEE;75019;Satisfaisant;48.893301,2.373644;4422;98
48;4 PIZZAS;1 RUE DE LA POMME D OR;67240;Satisfaisant;48.765903,7.857406;640;98
49;405 BAR A BIERES;9 RUE CONSTANTINE;69001;Très satisfaisant;45.767069,4.831991;3515;98
50;437 AVENUE;437 ROUTE DE PARIS;79180;Satisfaisant;46.342801,-0.380582;1338;98
51;45EME PARALLELE;4 ALLEE DE LA CRABETTE;33600;Satisfaisant;44.786656,-0.634238;4498;98
52;46&3RD/FORTY SIX AND THIRD;46 RUE DE TURBIGO;75003;Satisfaisant;48.865126,2.355075;4426;98
53;4810 RECEPTIONS;6-8 RUE BERTHE MORISOT;95220;Satisfaisant;49.003868,2.192708;2486;99
54;4'LIFE;6 RUE DE LA REPUBLIQUE;31270;Satisfaisant;43.523924,1.342539;6710;98
55;5 PAILLES;79 RUE DU FBG SAINT DENIS;75010;Satisfaisant;48.873231,2.354523;4413;98
56;5 SEVERIN;5 RUE SAINT SEVERIN;75005;Satisfaisant;48.85236,2.345277;4428;98
57;50 NUANCES DE FRITES;12 RUE PASTEUR;26260;Satisfaisant;45.049952,5.090058;5268;98
58;500 MANOSQUE;153 AV DU MOULIN NEUF;4100;Satisfaisant;43.829556,5.79338;3601;46
59;"55 HOTEL MONTPARNASSE ""ZONE PETIT-DEJEUNER""";55 RUE DE PLAISANCE;75014;Satisfaisant;48.833578,2.31777;4417;98
60;59TH AVENUE;150 B AV JEAN JAURES;59600;A améliorer;50.281836,3.953516;3722;98
61;61;3 RUE DE L'OISE;75019;Satisfaisant;48.890565,2.382041;4422;98
62;69 NUANCES DE CAFES;22 RUE DE LA PART DIEU;69003;Très satisfaisant;45.759174,4.842967;3518;98
63;7 11;7 RUE DU GRAND MARCHE;37000;Satisfaisant;47.394236,0.680193;6300;98
64;7 STARS;157 RUE MANIN;75019;Satisfaisant;48.885899,2.393452;4422;66
65;7 STARS;157 RUE MANIN;75019;Très satisfaisant;48.885899,2.393452;4422;46
66;7.4;444 RTE DE GENEVE;74350;Satisfaisant;46.006476,6.118234;93;98
67;7000-SET MEAL 9350;16 RUE DU 20 AOUT 44;45510;Satisfaisant;47.794275,2.201105;6257;99
68;7000-SET MEAL 9746;2 avenue de Pont-Cher;37200;Très satisfaisant;47.371289,0.677721;6300;99
69;750 GRAMMES - LA TABLE;397, RUE DE VAUGIRARD;75015;Satisfaisant;48.833836,2.290301;4418;98
70;8 A HUIT;3, rue du Parc;61150;Très satisfaisant;48.640199,-0.211159;4851;45
71;8 A HUIT;16, rue pierre Trevin;61150;Très satisfaisant;48.717082,-0.1235;1864;50
72;8 A HUIT;52 RUE CUSTINE;75018;Très satisfaisant;48.889524,2.344314;4421;46
73;8 A HUIT;14 PLACE MARIUS HAUSSY;60890;Satisfaisant;49.13776,3.077628;3638;45
74;8 A HUIT;14 PLACE MARIUS HAUSSY;60890;Satisfaisant;49.13776,3.077628;3638;80
75;89 FAFA;150 RUE DU FBG ST ANTOINE;75012;Très satisfaisant;48.85035,2.380177;4415;98
76;911 PIZZA;134 AV ROLAND CARRAZ;21300;Satisfaisant;47.284926,5.010546;1367;98
77;911 PIZZA;21 PL DARCY;21000;Satisfaisant;47.323444,5.032017;1759;98
78;911 PIZZA;2 AV GEN CANZIO;21240;Satisfaisant;47.342982,4.999335;6167;98
79;911 WILSON;17 RUE D AUXONNE;21000;Très satisfaisant;47.31559,5.045473;1759;98
80;912;Résidence Sole e Mare;20230;Satisfaisant;42.36737,9.51503;5896;100
81;A - B - M;EN TERRES ROUSSES;21800;Satisfaisant;47.302171,5.141188;1381;98
82;A & M;242 BOULEVARD DE LA VILLETTE;75019;Satisfaisant;48.884533,2.365318;4422;46
83;A CANTINA CORSA;14 RUE DES BAHUTIERS;33000;Très satisfaisant;44.839217,-0.570581;728;98
84;A CASA DI NONNA;68 RUE DE BELLEVILLE;75020;Très satisfaisant;48.873461,2.383482;4424;98
85;A CH'CARREFOUR GOURMAND;8 PL JULES GUESDE;59280;Satisfaisant;50.682587,2.885013;212;98
86;A COEUR OUVERT;15 rue Paul Belmondo;93160;Satisfaisant;48.834202,2.554292;4247;46
87;A CUPULATTA;STRADA NOVA;20243;Satisfaisant;42.00165,9.384195;4785;99
88;A E P DE L INTITUTION CHAMPAGNAT;1, rue Marcellin Champagnat;68500;Très satisfaisant;47.903137,7.255536;2563;99
89;A FINETTA;ALLEE DES CARREFOURS;20620;Satisfaisant;42.636972,9.433345;632;12
90;A JEAN BART;2 RUE JOUFFROY D'ABBANS;75017;Satisfaisant;48.887299,2.313422;4420;98
91;A JP;64 RUE JEAN MERMOZ;2390;Satisfaisant;49.843521,3.505054;3965;99
92;A JP;64 RUE JEAN MERMOZ;2390;Très satisfaisant;49.843521,3.505054;3965;99
93;A KA JO;2 Rue de la République;97100;Satisfaisant;15.994126,-61.729722;457;98
94;A KA SOSTHENE;Petit Bel Air;97130;Satisfaisant;16.07067,-61.565845;1012;98
95;A KABOUL RESTAURANT;A KABOUL RESTAURANT;61000;Satisfaisant;48.430873,0.090663;75;98
96;A LA BONNE TABLE;COCODY VILLAGE-Centre Commercial;20260;Satisfaisant;42.579213,8.833899;3494;98
97;A LA BONNE VIANDE 54;5 RUE PHILIPPE MARTIN;54250;Satisfaisant;48.732795,6.168612;1213;11
98;A LA CREPE DE GENTILLY;86 BD PAUL VAILLANT COUTURIER;94200;Satisfaisant;48.816749,2.399391;2574;98
99;A LA MAISON;9 RUE GUERRIER DE DUMAST;54000;Très satisfaisant;48.692364,6.17707;4164;98
100;A LA MAISON;46 RUE LENINE;94200;Satisfaisant;48.816391,2.394674;2574;98
101;A LA MANUFACTURE ROYALE;24 RUE DU PARC;68470;Satisfaisant;47.885014,6.99786;2533;98
102;A LA MARQUISE;37 RUE SAINT JEAN;69005;Très satisfaisant;45.761536,4.827253;3521;16
103;A LA MERE DE FAMILLE;70 RUE BONAPARTE;75006;Très satisfaisant;48.851745,2.332861;4429;18
104;A LA PETITE MARQUISE;50 AV DE LA MOTTE PICQUET;75015;Satisfaisant;48.850869,2.300185;4418;98
105;A LA RENCONTRE DU 3EME GOUT;73 RUE LEON FROT;75011;Satisfaisant;48.857189,2.38491;4412;98
106;A LA RENOMMEE;14 AV VICTOR HUGO;59400;Satisfaisant;50.175372,3.250826;980;100
107;A LA RENOMMEE DU BON SAINT NECTAIRE;RUE SAUVAGNAT;63240;Très satisfaisant;45.574319,2.809766;3964;22
108;A LA TOUR EIFFEL;96 RUE DU COMMERCE;75015;Très satisfaisant;48.843833,2.293027;4418;98
109;A LA VIE (SOLAL);2, rue des Abondances;92100;A améliorer;48.841561,2.229129;767;12
110;A LA VILLE DE PROVINS;74 BOULEVARD DE STRASBOURG;75010;Très satisfaisant;48.875622,2.358204;4413;98
111;A L'ABRI DU TEMPS;Stival;56300;Très satisfaisant;48.086425,-3.015071;4697;98
112;A L'AUTHENTIQUE;10 RUE HENRI FABRE;84000;Satisfaisant;43.945071,4.80691;351;98
113;A L'ESCALE;92 BD SAINT MARCEL;75005;Satisfaisant;48.837105,2.352188;4428;98
114;A L'INFINI;35 boulevard de Riquier;6300;Satisfaisant;43.704564,7.290373;4220;98
115;A L'UP THAI;17 RUE DE CONSTANTINOPLE;75008;Satisfaisant;48.879955,2.320215;4431;98
116;A MA FERME;zac de Frier;60590;Satisfaisant;49.358448,1.771336;6026;71
117;A P E I;12,Rue de La Marre;39570;Très satisfaisant;46.691279,5.663821;2466;99
118;A PETITS PAS;13 rue Rousseau;49000;Très satisfaisant;47.459671,-0.553091;140;99
