id_lieux;commune
1;Abbans-Dessous
2;Abbeville
3;Ableiges
4;ABLON SUR SEINE
5;Ablon-sur-Seine
6;Aboën
7;Aboncourt-Gesincourt
8;Abondance
9;Abriès-Ristolas
10;Abzac
11;ACHERES
12;Achères
13;Achery
14;ACHIET LE GRAND
15;Acigné
16;Acoua
17;Adast
18;Adervielle-Pouchergues
19;Adissan
20;Adriers
21;Agde
22;Agen
23;Agneaux
24;Agnetz
25;Agnicourt-et-Séchelles
26;Agon-Coutainville
27;Agonges
28;Agris
29;Ahuillé
30;Ahun
31;Ahuy
32;Aiffres
33;Aiglun
34;Aigondigné
35;Aigre
36;Aigrefeuille-d'Aunis
37;Aigrefeuille-sur-Maine
38;Aigremont
39;Aigueperse
40;Aigues-Mortes
41;Aigues-Vives
42;Aiguèze
43;Aiguillon
44;Aigurande
45;Aillevans
46;Aillon-le-Jeune
47;Ailly-sur-Somme
48;Aimargues
49;Aime-la-Plagne
50;Ainay-le-Château
51;Airaines
52;AIRE SUR LA LYS
53;Aire-sur-l'Adour
54;Aire-sur-la-Lys
55;Airvault
56;Aiton
57;AIX LES BAINS
58;Aix-en-Provence
59;Aixe-sur-Vienne
60;Aix-les-Bains
61;Aix-Noulette
62;Aix-Villemaur-Pâlis
63;Aizac
64;Aizenay
65;Ajaccio
66;Ajain
67;Alairac
68;Alba-la-Romaine
69;ALBERT
70;Albertville
71;Albestroff
72;Albi
73;Albias
74;Alboussière
75;Alençon
76;Aléria
77;Alès
78;Alfortville
79;Algajola
80;Alissas
81;Allaire
82;Allas-les-Mines
83;Allassac
84;Allauch
85;Allemans
86;Allennes-les-Marais
87;Allex
88;Alleyras
89;Alligny-Cosne
90;Allogny
91;Allonne
92;Allonnes
93;Allonzier-la-Caille
94;Allos
95;Alloue
96;Allouville-Bellefosse
97;Alluyes
98;Ally
99;Almayrac
100;Almenêches
101;Alo
102;Altier
103;Altillac
104;Altkirch
105;Alzen
106;Amagne
107;Amancey
108;Amanlis
109;Amanzé
110;Ambarès-et-Lagrave
111;Ambazac
112;Ambérieu-en-Bugey
113;Ambérieux-en-Dombes
114;Ambernac
115;Ambert
116;Ambès
117;Ambierle
118;Ambilly
119;Amboise
120;Ambon
121;Ambronay
